"Plot Title: Zegveld station"
"#","Date Time, GMT+02:00","PAR, uE (LGR S/N: 20153290, SEN S/N: 20139978, LBL: ZV Light)","Temp, °C (LGR S/N: 20153290, SEN S/N: 20145880, LBL: ZV Temp atm)","RH, % (LGR S/N: 20153290, SEN S/N: 20145880, LBL: ZV RH atm)","Water Content, m³/m³ (LGR S/N: 20153290, SEN S/N: 20145961, LBL: ZV Shallow humidity)","Temp, °C (LGR S/N: 20153290, SEN S/N: 20147654, LBL: ZV Temp Shallow)","Temp, °C (LGR S/N: 20153290, SEN S/N: 20152288, LBL: ZV Temp Deep)"
1,07/10/17 11:00:01 AM,1.2,22.321,55.700,-0.2476,22.130,22.178
2,07/10/17 11:15:01 AM,1.2,22.345,55.800,-0.2491,22.154,22.202
3,07/10/17 11:30:01 AM,1.2,22.369,55.800,-0.2505,22.178,22.226
4,07/10/17 11:45:01 AM,1.2,22.393,55.900,-0.2476,22.202,22.250
5,07/10/17 12:00:01 PM,1.2,22.417,55.900,-0.2505,22.226,22.274
6,07/10/17 12:15:01 PM,1.2,22.441,55.900,-0.2505,22.250,22.298
7,07/10/17 12:30:01 PM,1.2,22.465,56.000,-0.2505,22.298,22.298
8,07/10/17 12:45:01 PM,1.2,22.489,56.100,-0.2505,22.321,22.345
9,07/10/17 01:00:01 PM,1.2,22.513,56.100,-0.2476,22.345,22.369
10,07/10/17 01:15:01 PM,1.2,22.537,56.100,-0.2491,22.393,22.393
11,07/10/17 01:30:01 PM,1.2,22.561,56.200,-0.2476,22.417,22.417
12,07/10/17 01:45:01 PM,1.2,22.609,56.200,-0.2476,22.441,22.441
13,07/10/17 02:00:01 PM,1.2,22.609,56.400,-0.2476,22.465,22.465
14,07/10/17 02:15:01 PM,1.2,22.633,56.500,-0.2491,22.489,22.489
15,07/10/17 02:30:01 PM,1.2,22.657,56.500,-0.2491,22.513,22.489
16,07/10/17 02:45:01 PM,1.2,22.657,56.600,-0.2476,22.513,22.513
17,07/10/17 03:00:01 PM,1.2,22.681,56.700,-0.2476,22.537,22.513
18,07/10/17 03:15:01 PM,1.2,22.729,56.900,-0.1863,22.585,22.561
19,07/10/17 03:30:01 PM,1.2,22.729,56.800,-0.1826,22.585,22.561
20,07/10/17 03:45:01 PM,1.2,22.729,56.800,-0.1778,22.585,22.561
21,07/10/17 04:00:01 PM,1.2,22.729,56.800,-0.1802,22.609,22.561
22,07/10/17 04:15:01 PM,1.2,22.729,56.800,-0.1802,22.585,22.561
23,07/10/17 04:30:01 PM,1.2,22.729,56.800,-0.1814,22.585,22.561
24,07/10/17 04:45:01 PM,1.2,22.729,56.800,-0.1778,22.585,22.537
25,07/10/17 05:00:01 PM,1.2,22.729,56.800,-0.1802,22.585,22.537
26,07/10/17 05:15:01 PM,1.2,22.729,56.800,-0.1802,22.585,22.537
27,07/10/17 05:30:01 PM,1.2,22.729,56.800,-0.1778,22.585,22.561
28,07/10/17 05:45:01 PM,1.2,22.729,56.800,-0.1743,22.609,22.561
29,07/10/17 06:00:01 PM,1.2,22.753,56.800,-0.1814,22.633,22.585
30,07/10/17 06:15:01 PM,1.2,22.776,56.800,-0.1778,22.633,22.585
31,07/10/17 06:30:01 PM,1.2,22.776,56.900,-0.1814,22.681,22.609
